Company;Product;TypeName;ScreenResolution;Cpu;Ram;Memory;Gpu;Gpu_Intel;OpSys;Weight;Rating;Price_euros
Apple;MacBook Pro;Ultrabook;Other;Intel Core i5 2.3GHz;8;128;Intel Iris Plus Graphics 640;yes;macOS;1,37;8,7;1339,69
Apple;Macbook Air;Ultrabook;Other;Intel Core i5 1.8GHz;8;128;Intel HD Graphics 6000;yes;macOS;1,34;6,1;898,94
Apple;MacBook Pro;Ultrabook;Other;Intel Core i7 2.7GHz;16;512;AMD Radeon Pro 455;no;macOS;1,83;8,6;2537,45
Apple;MacBook Pro;Ultrabook;Other;Intel Core i5 3.1GHz;8;256;Intel Iris Plus Graphics 650;yes;macOS;1,37;6,6;1803,6
Acer;Aspire 3;Notebook;1366x768;AMD A9-Series 9420 3GHz;4;500;AMD Radeon R5;no;Windows 10;2,1;9,2;400
Apple;MacBook Pro;Ultrabook;Other;Intel Core i7 2.2GHz;16;256;Intel Iris Pro Graphics;yes;Mac OS X;2,04;8,2;2139,97
Apple;Macbook Air;Ultrabook;Other;Intel Core i5 1.8GHz;8;256;Intel HD Graphics 6000;yes;macOS;1,34;8,1;1158,7
Asus;ZenBook UX430UN;Ultrabook;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;16;512;Nvidia GeForce MX150;no;Windows 10;1,3;7,5;1495
Acer;Swift 3;Ultrabook;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8;256;Intel UHD Graphics 620;yes;Windows 10;1,6;5,4;770
Apple;MacBook Pro;Ultrabook;Other;Intel Core i7 2.8GHz;16;256;AMD Radeon Pro 555;no;macOS;1,83;7,8;2439,97
Dell;Inspiron 3567;Notebook;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4;256;AMD Radeon R5 M430;no;Windows 10;2,2;5,9;498,9
Apple;"MacBook 12""";Ultrabook;Other;Intel Core M m3 1.2GHz;8;256;Intel HD Graphics 615;yes;macOS;0,92;9,3;1262,4
